"CountryName","CountryCode","Date","ConfirmedCases","ConfirmedDeaths","StringencyIndex","C1_School.closing","C2_Workplace.closing","C3_Cancel.public.events","C4_Restrictions.on.gatherings","C5_Close.public.transport","C6_Stay.at.home.requirements","C7_Restrictions.on.internal.movement","C8_International.travel.controls","E1_Income.support","E2_Debt.contract.relief","E3_Fiscal.measures","E4_International.support","H1_Public.information.campaigns","H2_Testing.policy","H3_Contact.tracing","H4_Emergency.investment.in.healthcare","H5_Investment.in.vaccines"
"Netherlands","NLD",2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Netherlands","NLD",2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Netherlands","NLD",2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Netherlands","NLD",2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Netherlands","NLD",2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Netherlands","NLD",2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Netherlands","NLD",2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Netherlands","NLD",2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Netherlands","NLD",2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Netherlands","NLD",2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Netherlands","NLD",2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Netherlands","NLD",2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Netherlands","NLD",2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Netherlands","NLD",2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Netherlands","NLD",2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
